,I_c,I_w,A,g,tryb_awaryjny
1996-01,100.0,100.0,100.0,,False
1996-02,101.46102224932524,100.91289771370108,101.18658883554532,1.0118658883554532,False
1996-03,102.92206758029992,101.83690719054458,102.37804962018936,1.0117748883360471,False
1996-04,105.1948021971884,102.77218058907798,103.97643583255672,1.0156125870564752,False
1996-05,106.65584752816308,103.71887229033187,105.17710886305372,1.0115475494123551,False
1996-06,107.79220329578258,104.67713893163484,106.22325282225007,1.009946498534757,False
1996-07,107.62987005492973,105.64713944095774,106.63389653250658,1.0038658551620865,False
1996-08,108.11686977748832,106.60397839275312,107.35775914973014,1.0067882975372928,False
1996-09,110.22727115352392,107.55539837669616,108.88313947022915,1.0142083844947956,False
1996-10,111.85064972535146,108.50609465244422,110.1656806180417,1.011779061056218,False
1996-11,113.31167197467668,109.4591010434088,111.36872878898154,1.01092035345482,False
1996-12,114.77271730565135,110.41648289486334,112.57353053527476,1.010818133235372,False
1997-01,118.0194744493065,112.32801940040812,115.138585259537,1.0227855936654529,False
1997-02,119.31816345777884,114.25603311238194,116.75966784356908,1.0140794033588127,False
1997-03,120.29220906619496,116.20052162611488,118.22866590235007,1.0125813826461816,False
1997-04,121.42856483381443,118.16147750173434,119.78388302137584,1.013154315048351,False
1997-05,122.07792087887536,120.13888809007796,121.10452375834934,1.011025195574415,False
1997-06,123.86363269155578,122.13273535407522,122.99513921904462,1.0156114354940844,False
1997-07,123.53896620985006,124.14299568549356,123.8406126808962,1.0068740396345732,False
1997-08,123.70129945070288,126.1468880581794,124.91810907334111,1.008700670717944,False
1997-09,125.48701126338332,128.14379600308112,126.808445982006,1.0151326090563462,False
1997-10,126.78570027185567,130.13308626930876,128.4484895636851,1.0129332361813803,False
1997-11,128.24674560283037,132.1141084618706,130.16606492651707,1.0133717054102096,False
1997-12,129.5454576929522,134.0861946723313,131.7962725540197,1.0125240601567156,False
1998-01,133.60388104087158,136.0486591022606,134.82072862311833,1.022947963629692,False
1998-02,135.87661565776008,138.00079767933946,136.9345878393765,1.0156790371766,False
1998-03,136.68830494367384,139.9418876659872,138.3055292303305,1.0100116516402862,False
1998-04,137.6623274704405,141.87118726037272,139.75091355428634,1.0104506618932692,False
1998-05,138.14935027464855,143.78793518966793,140.94044779191634,1.0085118172566931,False
1998-06,138.63634999720716,145.69135029540124,142.12007961973197,1.0083697181774052,False
1998-07,138.14935027464855,147.5806311107648,142.787143332566,1.0046936626732752,False
1998-08,137.3376609887348,149.43958179239806,143.26089006600046,1.0033178528709064,False
1998-09,138.47401675635427,151.2673259622411,144.72938274581384,1.0102504785439823,False
1998-10,139.28570604226806,153.0629716216771,146.01193126334894,1.0088617010119336,False
1998-11,139.935062087329,154.82561091147332,147.19215833598494,1.008083086515083,False
1998-12,140.42206180988754,156.55431986827904,148.2689461119502,1.0073155240614609,False
1999-01,142.53246318592318,158.2481581776324,150.18488532370205,1.0129220532147387,False
1999-02,143.34415247183696,159.90616892342837,151.39885818376317,1.008083189313256,False
1999-03,144.80517472116213,161.5273783337981,152.93789668318607,1.0101654564498423,False
1999-04,145.94155357043115,163.11079552335173,154.28753320598162,1.008824735739575,False
1999-05,146.9155760971978,164.6554122317326,155.53277707784486,1.0080709299448114,False
1999-06,147.2402425789035,166.1602025584335,156.41441280030267,1.0056684882699456,False
1999-07,146.7532428563449,167.62412269382256,156.8419063460665,1.0027330828285603,False
1999-08,147.56493214225867,169.1187652408837,157.97467872021002,1.0072223833574434,False
1999-09,149.67531043664482,170.64457959938326,159.81639598573244,1.0116583067643663,False
1999-10,151.29868900847237,172.2020209204857,161.412329175559,1.0099860416697737,False
1999-11,152.5974010985942,173.79155017539372,162.850050321334,1.0089071333839146,False
1999-12,153.89609010706656,175.4136342247733,164.30298980439682,1.0089219467859905,False
2000-01,156.6558244465136,177.0687458889721,166.5498435032202,1.013675062769693,False
2000-02,157.95453653663546,178.75736401904092,168.03433156988558,1.0089131759924872,False
2000-03,159.41558186761014,180.47997356856584,169.62110718269653,1.009443163179728,False
2000-04,160.06493791267104,182.237065666321,170.79158234897594,1.0069005278041177,False
2000-05,161.20129368029055,184.02913768975108,172.23743806285609,1.008465614604623,False
2000-06,162.33764944791002,185.85669333929204,173.6995645672772,1.0084890167948708,False
2000-07,163.47400521552953,187.7202427135402,175.17813772390016,1.00851224446248,False
2000-08,162.98700549297098,189.53252539965737,175.75932054491625,1.0033176675386977,False
2000-09,164.6103840647985,191.29262223727503,177.4507030564834,1.0096232877227975,False
2000-10,165.90907307327086,192.9996025035828,178.94240736862557,1.0084063026319334,False
2000-11,166.55845219998128,194.65252378380663,180.05838796971074,1.0062365350812914,False
2000-12,166.883118681687,196.2504318403094,180.9720533898499,1.005074273020221,False
2001-01,168.18180769015936,197.7923604802995,182.3871616448932,1.0078194849897342,False
2001-02,168.3441640126617,199.27733142213364,183.15888120681785,1.004231216468115,False
