date,value
1996-01-01,838800000000000.0
1996-02-01,840300000000000.0
1996-03-01,844200000000000.0
1996-04-01,844500000000000.0
1996-05-01,848000000000000.0
1996-06-01,851800000000000.0
1996-07-01,853500000000000.0
1996-08-01,855300000000000.0
1996-09-01,857200000000000.0
1996-10-01,860500000000000.0
1996-11-01,861500000000000.0
1996-12-01,861900000000000.0
1997-01-01,863600000000000.0
1997-02-01,864200000000000.0
1997-03-01,866900000000000.0
1997-04-01,872100000000000.0
1997-05-01,873500000000000.0
1997-06-01,876800000000000.0
1997-07-01,879800000000000.0
1997-08-01,882700000000000.0
1997-09-01,884400000000000.0
1997-10-01,887000000000000.0
1997-11-01,889200000000000.0
1997-12-01,894700000000000.0
1998-01-01,899800000000000.0
1998-02-01,904200000000000.0
1998-03-01,905400000000000.0
1998-04-01,907500000000000.0
1998-05-01,911300000000000.0
1998-06-01,912000000000000.0
1998-07-01,916500000000000.0
1998-08-01,920600000000000.0
1998-09-01,923800000000000.0
1998-10-01,925400000000000.0
1998-11-01,931200000000000.0
1998-12-01,934300000000000.0
1999-01-01,936600000000000.0
1999-02-01,938800000000000.0
1999-03-01,942700000000000.0
1999-04-01,943800000000000.0
1999-05-01,947200000000000.0
1999-06-01,950800000000000.0
1999-07-01,952500000000000.0
1999-08-01,953600000000000.0
1999-09-01,953800000000000.0
1999-10-01,956900000000000.0
1999-11-01,957700000000000.0
1999-12-01,960900000000000.0
2000-01-01,961200000000000.0
2000-02-01,963000000000000.0
2000-03-01,963800000000000.0
2000-04-01,966100000000000.0
2000-05-01,966300000000000.0
2000-06-01,967300000000000.0
2000-07-01,967500000000000.0
2000-08-01,969200000000000.0
2000-09-01,971400000000000.0
2000-10-01,973400000000000.0
2000-11-01,973800000000000.0
2000-12-01,973300000000000.0
2001-01-01,975000000000000.0
2001-02-01,976800000000000.0
2001-03-01,977600000000000.0
2001-04-01,979300000000000.0
2001-05-01,981200000000000.0
2001-06-01,983100000000000.0
2001-07-01,984600000000000.0
2001-08-01,985800000000000.0
2001-09-01,987900000000000.0
2001-10-01,988900000000000.0
2001-11-01,990600000000000.0
2001-12-01,992600000000000.0
2002-01-01,995200000000000.0
2002-02-01,996500000000000.0
2002-03-01,998500000000000.0
2002-04-01,999900000000000.0
2002-05-01,1001300000000000.0
2002-06-01,1002100000000000.0
2002-07-01,1003500000000000.0
2002-08-01,1004800000000000.0
2002-09-01,1005800000000000.0
2002-10-01,1007100000000000.0
2002-11-01,1007900000000000.0
2002-12-01,1006700000000000.0
