date,value
1996-01-01,175037460003.0
1996-02-01,174832724187.0
1996-03-01,175384419590.0
1996-04-01,173650017343.0
1996-05-01,172229874233.0
1996-06-01,173472150486.0
1996-07-01,172417115868.0
1996-08-01,173009587195.0
1996-09-01,176994960777.0
1996-10-01,179184384386.0
1996-11-01,182163718978.0
1996-12-01,188735165531.0
1997-01-01,189278928217.0
1997-02-01,192902410077.0
1997-03-01,195733128895.0
1997-04-01,195853894663.0
1997-05-01,198245164879.0
1997-06-01,205189407513.0
1997-07-01,204299756018.0
1997-08-01,209692776334.0
1997-09-01,217061745457.0
1997-10-01,222660184131.0
1997-11-01,230702734372.0
1997-12-01,239777195805.0
1998-01-01,241760736832.0
1998-02-01,243449542637.0
1998-03-01,244428413087.0
1998-04-01,242194202925.0
1998-05-01,243614518508.0
1998-06-01,247300463732.0
1998-07-01,247652306074.0
1998-08-01,248165807912.0
1998-09-01,245772365836.0
1998-10-01,247228305158.0
1998-11-01,251315057866.0
1998-12-01,254965130000.0
1999-01-01,254930105000.0
1999-02-01,259568056000.0
1999-03-01,260900171000.0
1999-04-01,257075021000.0
1999-05-01,258344677000.0
1999-06-01,260973090000.0
1999-07-01,260036100000.0
1999-08-01,259187285000.0
1999-09-01,257450042000.0
1999-10-01,259628490000.0
1999-11-01,262754640000.0
1999-12-01,274769738000.0
2000-01-01,269834203000.0
2000-02-01,261493972000.0
2000-03-01,261426958000.0
2000-04-01,259792946000.0
2000-05-01,259849804000.0
2000-06-01,260097175000.0
2000-07-01,262669758000.0
2000-08-01,264098974000.0
2000-09-01,264758892000.0
2000-10-01,265690888000.0
2000-11-01,271618418000.0
2000-12-01,283784809000.0
2001-01-01,276497688000.0
2001-02-01,279762508000.0
2001-03-01,278378236000.0
2001-04-01,279598547100.0
2001-05-01,283478494500.0
2001-06-01,289058653300.0
2001-07-01,290466494400.0
2001-08-01,295618891000.0
2001-09-01,296574994000.0
2001-10-01,295900745000.0
2001-11-01,301950848000.0
2001-12-01,321612169000.0
2002-01-01,314518503000.0
2002-02-01,316188984000.0
2002-03-01,323975113000.0
2002-04-01,322667891000.0
2002-05-01,324541851000.0
2002-06-01,342029281359.0
2002-07-01,353510430000.0
2002-08-01,369202497000.0
2002-09-01,375894369000.0
2002-10-01,382186726000.0
2002-11-01,385610075000.0
2002-12-01,397502950000.0
2003-01-01,388505575000.0
2003-02-01,391101065000.0
2003-03-01,385238154000.0
2003-04-01,382254765000.0
2003-05-01,385368449000.0
2003-06-01,383247962000.0
2003-07-01,385673744000.0
2003-08-01,387611181000.0
2003-09-01,388097266000.0
2003-10-01,386023071000.0
2003-11-01,398425403000.0
2003-12-01,412894706000.0
2004-01-01,405055550000.0
2004-02-01,408095681000.0
2004-03-01,409758044000.0
2004-04-01,410978137000.0
2004-05-01,427761539000.0
2004-06-01,436468893000.0
2004-07-01,441903867000.0
2004-08-01,450248035000.0
2004-09-01,457263750000.0
2004-10-01,463011718680.15
2004-11-01,470778291000.0
2004-12-01,493496745000.0
2005-01-01,489051624000.0
2005-02-01,492621330000.0
2005-03-01,502561717000.0
2005-04-01,503109309000.0
2005-05-01,504302367000.0
2005-06-01,512485028000.0
2005-07-01,518084803000.0
2005-08-01,526645435000.0
2005-09-01,532469413000.0
2005-10-01,539183005000.0
2005-11-01,549488595000.0
2005-12-01,582463581000.0
2006-01-01,567252738000.0
2006-02-01,574854769000.0
2006-03-01,578794752000.0
2006-04-01,579656895000.0
2006-05-01,593980605000.0
2006-06-01,600442057000.0
2006-07-01,604812698000.0
2006-08-01,607032661000.0
2006-09-01,611874556000.0
2006-10-01,622409389000.0
2006-11-01,637723544000.0
2006-12-01,661499645000.0
2007-01-01,645751549000.0
2007-02-01,646966126000.0
2007-03-01,650733952000.0
2007-04-01,657129977000.0
2007-05-01,663899803000.0
2007-06-01,677220438000.0
2007-07-01,682624102000.0
2007-08-01,698087344000.0
2007-09-01,711705989000.0
2007-10-01,722352529000.0
2007-11-01,735188526000.0
2007-12-01,781280049000.0
2008-01-01,756004378000.0
2008-02-01,758407731000.0
2008-03-01,778446487000.0
2008-04-01,812326582000.0
2008-05-01,840670357000.0
2008-06-01,864451130000.0
2008-07-01,905716750000.0
2008-08-01,949813624000.0
2008-09-01,988582930000.0
2008-10-01,1013486040000.0
2008-11-01,1034366743000.0
2008-12-01,1072986066000.0
2009-01-01,1054280418000.0
2009-02-01,1060217922000.0
2009-03-01,1058016601000.0
2009-04-01,1062112823000.0
2009-05-01,1074877025000.0
2009-06-01,1095141404000.0
2009-07-01,1098611974000.0
2009-08-01,1104712956000.0
2009-09-01,1121188557000.0
2009-10-01,1116967849000.0
2009-11-01,1131999714000.0
2009-12-01,1164854743586.9
2010-01-01,1146428588000.0
2010-02-01,1149968048000.0
2010-03-01,1162640012000.0
2010-04-01,1158508716000.0
2010-05-01,1172262354000.0
2010-06-01,1191152965000.0
2010-07-01,1202067014000.0
2010-08-01,1226542733000.0
2010-09-01,1255385220912.07
2010-10-01,1268275905000.0
2010-11-01,1300275955000.0
2010-12-01,1362388713000.0
2011-01-01,1348030565000.0
2011-02-01,1367532564000.0
2011-03-01,1393939107000.0
2011-04-01,1401819806000.0
2011-05-01,1427174141000.0
2011-06-01,1453997748000.0
2011-07-01,1474643875000.0
2011-08-01,1500838516000.0
2011-09-01,1531092115000.0
2011-10-01,1538019377000.0
2011-11-01,1569029499000.0
2011-12-01,1617479557000.0
2012-01-01,1591802789000.0
2012-02-01,1599649389000.0
2012-03-01,1614347323000.0
2012-04-01,1610857200000.0
2012-05-01,1637111216000.0
2012-06-01,1660339682000.0
2012-07-01,1668505243000.0
2012-08-01,1685548585000.0
2012-09-01,1702277330000.0
2012-10-01,1706898049000.0
2012-11-01,1724637270000.0
2012-12-01,1764611148000.0
2013-01-01,1721819113000.0
2013-02-01,1722232564000.0
2013-03-01,1755986199578.85
2013-04-01,1752360489000.0
2013-05-01,1780263166127.18
2013-06-01,1817185841841.38
2013-07-01,1822959179959.79
2013-08-01,1844371951305.51
2013-09-01,1861085764323.7
2013-10-01,1871626060355.24
2013-11-01,1909101906129.07
2013-12-01,1956838074710.52
2014-01-01,1941730915996.86
2014-02-01,1960711414822.54
2014-03-01,1972553098599.27
2014-04-01,1983442700824.34
2014-05-01,2002401958659.16
2014-06-01,2022879777365.15
2014-07-01,2031090292376.28
2014-08-01,2048089758215.98
2014-09-01,2057233386304.19
2014-10-01,2081008364474.49
2014-11-01,2107505461135.39
2014-12-01,2150683632209.72
2015-01-01,2127290700362.09
2015-02-01,2130760373888.26
2015-03-01,2127134050943.44
2015-04-01,2135910116357.39
2015-05-01,2151857156944.03
2015-06-01,2154232444220.11
2015-07-01,2161920643729.86
2015-08-01,2163406035558.91
2015-09-01,2167463562354.9
2015-10-01,2200853918815.86
2015-11-01,2220285504244.01
2015-12-01,2285721020372.16
2016-01-01,2248923085979.39
2016-02-01,2247636028115.64
2016-03-01,2245379835589.69
2016-04-01,2241550818069.43
2016-05-01,2253794325024.0
2016-06-01,2267104140914.8
2016-07-01,2271113017216.11
2016-08-01,2281970742489.39
2016-09-01,2282046090602.94
2016-10-01,2286437190932.41
2016-11-01,2314068169071.9
2016-12-01,2371654898344.14
2017-01-01,2313409310781.15
2017-02-01,2319595994523.49
2017-03-01,2327996051542.46
2017-04-01,2342597558968.82
2017-05-01,2373062417010.12
