date,value
1996-01-01,3906893000000.0
1996-02-01,3916561000000.0
1996-03-01,3931433000000.0
1996-04-01,3940690000000.0
1996-05-01,3946536000000.0
1996-06-01,3966021000000.0
1996-07-01,3953451000000.0
1996-08-01,3956604000000.0
1996-09-01,3973985000000.0
1996-10-01,3970778000000.0
1996-11-01,3998359000000.0
1996-12-01,4090345000000.0
1997-01-01,4052403000000.0
1997-02-01,4059918000000.0
1997-03-01,4070899000000.0
1997-04-01,4076852000000.0
1997-05-01,4112046000000.0
1997-06-01,4139717000000.0
1997-07-01,4137802000000.0
1997-08-01,4122478000000.0
1997-09-01,4131073000000.0
1997-10-01,4142069000000.0
1997-11-01,4184181000000.0
1997-12-01,4265545000000.0
1998-01-01,4255362000000.0
1998-02-01,4264270000000.0
1998-03-01,4275050000000.0
1998-04-01,4310239000000.0
1998-05-01,4337152000000.0
1998-06-01,4357028000000.0
1998-07-01,4350013000000.0
1998-08-01,4340339000000.0
1998-09-01,4335145000000.0
1998-10-01,4366998000000.0
1998-11-01,4396454000000.0
1998-12-01,4471128000000.0
1999-01-01,4463577000000.0
1999-02-01,4447594000000.0
1999-03-01,4459586000000.0
1999-04-01,4496031000000.0
1999-05-01,4529333000000.0
1999-06-01,4555934000000.0
1999-07-01,4563119000000.0
1999-08-01,4540771000000.0
1999-09-01,4561347000000.0
1999-10-01,4578653000000.0
1999-11-01,4625175000000.0
1999-12-01,4708947000000.0
2000-01-01,4723291000000.0
2000-02-01,4738473000000.0
2000-03-01,4768884000000.0
2000-04-01,4826279000000.0
2000-05-01,4820008000000.0
2000-06-01,4805383000000.0
2000-07-01,4802374000000.0
2000-08-01,4798357000000.0
2000-09-01,4794882000000.0
2000-10-01,4804690000000.0
2000-11-01,4832421000000.0
2000-12-01,4910328000000.0
2001-01-01,5026837000000.0
2001-02-01,5047544000000.0
2001-03-01,5090546000000.0
2001-04-01,5135593000000.0
2001-05-01,5174256000000.0
2001-06-01,5216143000000.0
2001-07-01,5209922000000.0
2001-08-01,5211887000000.0
2001-09-01,5263161000000.0
2001-10-01,5289730000000.0
2001-11-01,5343832000000.0
2001-12-01,5446736520000.0
2002-01-01,5430255390000.0
2002-02-01,5431228460000.0
2002-03-01,5468342050000.0
