date,value
1996-12-31,46946005.823
1997-12-31,47134532.598
1998-12-31,47264865.799
1999-12-31,47284472.906
2000-12-31,47326587.076
2001-12-31,47326711.316
2002-12-31,47236201.331
2003-12-31,47027803.302
2004-12-31,46611162.706
2005-12-31,46677930.454
2006-12-31,46680306.435
2007-12-31,46592866.876
2008-12-31,46456017.305
2009-12-31,46411676.665
2010-12-31,46419479.334
2011-12-31,46630236.169
2012-12-31,48000131.943
2013-12-31,47895208.186
2014-12-31,47891054.405
2015-12-31,47683231.781
2016-12-31,47627691.239
2017-12-31,47943570.04
2018-12-31,47785547.076
2019-12-31,47830686.927
2020-12-31,47748735.469
2021-12-31,47809377.168
2022-12-31,47730613.355
