date,value
1996-12-31,2042072859.72
1997-12-31,2081431172.68
1998-12-31,2061858279.9
1999-12-31,2074434002.15
2000-12-31,2053531202.54
2001-12-31,2098381135.74
2002-12-31,2029666218.53
2003-12-31,2093026046.25
2004-12-31,2266761415.27
2005-12-31,2255172396.01
2006-12-31,2235506164.61
2007-12-31,2351033284.5
2008-12-31,2519191671.21
2009-12-31,2489605634.38
2010-12-31,2471965841.95
2011-12-31,2590198747.45
2012-12-31,2541908619.37
2013-12-31,2765310029.01
2014-12-31,2822286611.04
2015-12-31,2833752794.39
2016-12-31,2939699643.3
2017-12-31,2942085906.1
2018-12-31,2899918262.77
2019-12-31,2964249370.79
2020-12-31,3032407096.06
2021-12-31,3082350445.56
2022-12-31,3059720000.67
2023-12-31,3123613732.92
2024-12-31,1644081589.79
