date,value
1996-12-31,31968950237590.7
1997-12-31,31870560107975.7
1998-12-31,31733749169046.7
1999-12-31,32782827769545.3
2000-12-31,33898156427205.9
2001-12-31,33690417699612.7
2002-12-31,34991525564916.9
2003-12-31,39243276986261.9
2004-12-31,44225384449869.7
2005-12-31,47900489808168.8
2006-12-31,51923507284496.0
2007-12-31,58525785801185.8
2008-12-31,64311729364641.3
2009-12-31,60982255960004.4
2010-12-31,66811191491614.9
2011-12-31,74309709353789.3
2012-12-31,75960594595757.0
2013-12-31,78034892841179.1
2014-12-31,80054888775431.1
2015-12-31,75621913961646.1
2016-12-31,76831684012526.2
2017-12-31,81839102917044.7
2018-12-31,87050964956078.4
2019-12-31,88483262418196.7
2020-12-31,85912761035231.2
2021-12-31,98140475264975.8
2022-12-31,102251524725531.0
2023-12-31,106741647821064.0
2024-12-31,110982661180013.0
