date,value
1996-12-31,6893.75191373001
1997-12-31,7189.42476715423
1998-12-31,7324.79888618064
1999-12-31,7584.42197716478
2000-12-31,8041.52782105755
2001-12-31,8321.66254338318
2002-12-31,8612.44914756969
2003-12-31,8982.00579533678
2004-12-31,9589.68821590027
2005-12-31,10205.4338900758
2006-12-31,11037.7027900165
2007-12-31,11804.6142042322
2008-12-31,12345.9146352407
2009-12-31,12300.3764738111
2010-12-31,12953.5838737378
2011-12-31,13644.381319956
2012-12-31,14187.1265331167
2013-12-31,14720.7763726185
2014-12-31,15118.8576050696
2015-12-31,15284.7403275048
2016-12-31,15739.2238285183
2017-12-31,16435.1099509885
2018-12-31,17300.0026687715
2019-12-31,18139.33276478
2020-12-31,17911.4905983176
2021-12-31,19857.1360041616
2022-12-31,21985.2888100547
2023-12-31,23379.1732967639
2024-12-31,24526.0119989325
