date,value
1996-12-31,2568811762
1997-12-31,2616772368
1998-12-31,2663920914
1999-12-31,2716330047
2000-12-31,2762443952
2001-12-31,2806152532
2002-12-31,2851212331
2003-12-31,2898063186
2004-12-31,2947529378
2005-12-31,2997204379
2006-12-31,3039229306
2007-12-31,3081183201
2008-12-31,3117424560
2009-12-31,3151288396
2010-12-31,3182912494
2011-12-31,3220227493
2012-12-31,3254767408
2013-12-31,3291126988
2014-12-31,3325087977
2015-12-31,3363643592
2016-12-31,3400882046
2017-12-31,3435255416
2018-12-31,3472041781
2019-12-31,3509211723
2020-12-31,3473045948
2021-12-31,3556319593
2022-12-31,3599638706
2023-12-31,3657473761
2024-12-31,3697524627
2025-12-31,3734006209
