date,value
1996-12-31,5822614627
1997-12-31,5908466558
1998-12-31,5994040064
1999-12-31,6078404337
2000-12-31,6161884811
2001-12-31,6245112906
2002-12-31,6327557399
2003-12-31,6409750441
2004-12-31,6492769815
2005-12-31,6575841506
2006-12-31,6659977025
2007-12-31,6744489399
2008-12-31,6830513541
2009-12-31,6916589116
2010-12-31,7001266876
2011-12-31,7087120034
2012-12-31,7176929184
2013-12-31,7265892332
2014-12-31,7354068030
2015-12-31,7441677465
2016-12-31,7528879985
2017-12-31,7614523410
2018-12-31,7697233736
2019-12-31,7778008621
2020-12-31,7854748424
2021-12-31,7920514854
2022-12-31,7989545217
2023-12-31,8064057930
2024-12-31,8141808945
